Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
10F6A12-1A11,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,A1,F6-2_air_panel.pdf,10F6A12-1A11.stp
10F6A12-1A13,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,A1,F6-2_air_push.pdf,10F6A12-1A13.stp
10F6A32-1A11,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,A3,F6-2_air_panel.pdf,10F6A32-1A11.stp
10F6A32-1A13,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,A3,F6-2_air_push.pdf,10F6A32-1A13.stp
10F6K12-1A11,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,K1-E,F6-2_air_panel.pdf,10F6K12-1A11.stp
10F6K12-1A13,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,K1-E,F6-2_air_push.pdf,10F6K12-1A13.stp
10F6P52-1A31,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-3,F6-2_air_panel.pdf,10F6P52-1A31.stp
10F6P52-1A33,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-3,F6-2_air_push.pdf,10F6P52-1A33.stp
10F6P52-1A41,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-4,F6-2_air_panel.pdf,10F6P52-1A41.stp
10F6P52-1A43,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-4,F6-2_air_push.pdf,10F6P52-1A43.stp
10F6P52-1A51,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-5,F6-2_air_panel.pdf,10F6P52-1A51.stp
10F6P52-1A53,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,2.2,3,11,11,23.76,16.50,216,150,8,16,P5-5,F6-2_air_push.pdf,10F6P52-1A53.stp
12F6A12-1A11,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,4,5,17.50,17.50,37.80,26.25,216,150,8,16,A1,F6-2_air_panel.pdf,12F6A12-1A11.stp
12F6A12-1A13,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,4,5,17.50,17.50,37.80,26.25,216,150,8,16,A1,F6-2_air_push.pdf,12F6A12-1A13.stp
12F6A12-3A11,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,A1,F6-2_air_panel.pdf,12F6A12-3A11.stp
12F6A12-3A13,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,A1,F6-2_air_push.pdf,12F6A12-3A13.stp
