Part Number,Type,Size,Housing,Cooling,Mounting,SubResistors,Voltage,EMI,GTR7,Power_KVA,Power_KW,Power_HP,Irated_IEC_Amps,Irated_UL_Amps,I_OL_Amps,I_OC_Amps,OL2_2kHz_A,OL2_4kHz_A,OL2_8kHz_A,OL2_12kHz_A,OL2_16kHz_A,I_OC_%,I_OL_%,OL2_2kHz_%,OL2_4kHz_%,OL2_8kHz_%,OL2_12kHz_%,OL2_16kHz_%,Rated_kHz,Max_kHz,BaseBlockTime_ms
10F6A12-1A11,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6A12-1A13,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6A32-1A11,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6A32-1A13,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6K12-1A11,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6K12-1A13,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6P52-1A31,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6P52-1A33,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6P52-1A41,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6P52-1A43,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
